instance,group,n,p,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,ils_stop_reason,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_ils_promotions,time_grasp_s,time_vnd_s,time_ils_s,time_total_s,status
ali535_005.txt,ali535,,5,100,10048.3333,10004.4554,9956.7698,78,5,iter_limit,5,2,4.4457,1,0.0275,0.0152,9.1924,9.2351,OK
ali535_025.txt,ali535,,25,100,4085.4171,3967.7768,3713.1811,83,6,iter_limit,7,2,20.8588,2,0.0280,0.1160,17.6678,17.8118,OK
ali535_050.txt,ali535,,50,100,3191.5979,2825.5602,2494.1864,231,21,iter_limit,27,7,58.6607,6,0.0374,0.3787,418.6806,419.0968,OK
ali535_100.txt,ali535,,100,100,1802.8981,1718.6454,1453.5997,297,31,iter_limit,37,10,101.3439,8,0.0544,0.3040,265.3317,265.6901,OK
ali535_150.txt,ali535,,150,100,1762.2921,1232.9107,1050.1298,252,22,iter_limit,31,9,39.9527,5,0.0708,1.9663,1031.4261,1033.4632,OK
fnl4461_0020.txt,fnl4461,,20,100,1325833.1483,1319656.1849,1285871.8410,140,18,iter_limit,14,4,3719.2819,4,3.7136,0.8005,680.4352,684.9493,OK
fnl4461_0100.txt,fnl4461,,100,100,575356.7261,574122.5299,557006.3326,148,18,iter_limit,18,7,6705.6727,7,3.9367,2.8773,1023.6428,1030.4568,OK
fnl4461_0250.txt,fnl4461,,250,100,360128.3105,359031.7594,342608.2115,220,27,iter_limit,27,13,12376.4821,13,6.3582,7.9466,1941.8126,1956.1175,OK
fnl4461_0500.txt,fnl4461,,500,100,251679.1444,244249.6795,231221.3686,256,39,iter_limit,32,16,8611.4239,14,9.2283,103.1301,3528.8713,3641.2297,OK
fnl4461_1000.txt,fnl4461,,1000,100,178139.3774,164682.5837,151850.3461,168,76,time_limit,21,15,3774.7878,13,26.3234,561.6903,3612.5780,4200.5918,OK
lin318_005.txt,lin318,,5,100,199827.7573,199371.8151,180281.2051,96,9,iter_limit,7,3,150.8103,1,0.0045,0.0072,15.1860,15.1977,OK
lin318_015.txt,lin318,,15,100,94092.1967,93254.4763,88901.5631,79,6,iter_limit,4,1,1864.8372,1,0.0055,0.0087,7.2918,7.3061,OK
lin318_040.txt,lin318,,40,100,57483.0747,54700.2156,48331.3089,120,20,iter_limit,14,6,572.0200,4,0.0062,0.0498,216.3855,216.4416,OK
lin318_070.txt,lin318,,70,100,42408.1629,34088.1692,32389.5832,252,16,iter_limit,31,9,327.9845,3,0.0153,0.2416,443.6128,443.8697,OK
lin318_100.txt,lin318,,100,100,33674.2189,24550.8397,22999.8716,278,24,iter_limit,34,6,0.0000,1,0.0238,0.3167,1209.5571,1209.8976,OK
p3038_1000.dat,p3038,,1000,100,110344.3231,94599.0342,87219.8809,244,81,time_limit,30,19,4029.9847,18,18.9477,422.0333,3604.7446,4045.7258,OK
p3038_600.dat,p3038,,600,100,147125.5448,134732.6629,125642.2045,212,41,iter_limit,26,15,5480.1934,14,7.2012,131.2444,2555.0708,2693.5165,OK
p3038_700.dat,p3038,,700,100,136740.2009,122402.9203,111367.5183,156,41,iter_limit,19,12,6826.7383,12,8.5749,247.6064,1875.0796,2131.2609,OK
